,AMC,XTSLA,FANG,ZION,ENTG,TTC,NUAN,CMA,PWR,KRC,FIVN,DECK,BILL,LPLA,CREE,WSM,OSK,INGR,TREX,ATR,LSI,OLED,MRO,AXON,CSL,BFAM,RGEN,TPR,AXTA,CHGG,GME,JLL,JHG,RS,GGG,ITT,DAR,ACM,MDU,PENN,AZPN,SMAR,RH,HUBB,SITE,ZNGA,FIVE,SBNY,EME,FRT,AMED,WAL,FSLR,FLEX,EHC,CIEN,DXC,FHN,FND,PCTY,ESTC,SON,KIM,NCLH,NATI,DEI,ACC,WEX,TMX,CLF,IAA,AMG,CBSH,OVV,PBCT,PFPT,PEN,RGLD,BMI,NTLA,CONE,YETI,BWXT,PVH,GPS,VLY,EWBC,FRPT,NLSN,FULT,LSTR,GH,HELE,GLPI,NTNX,BYND,PNFP,MANH,APA,FAF,OGS,OZK,HRC,TRGP,LAD,LHCG,AMH,NEP,BLDR,BRX,AYI,JBGS,KSS,TDC,CROX,USFD,COHR,BL,COLD,STWD,TPL,TNDM,OSIS,CRSP,PRGO,WMS,NTRA,THG,MIDD,COR,CNXC,SWAV,REXR,NYT,DCI,RPD,HBI,WBS,CUBE,XLRN,STOR,MSA,THRM,RARE,PLAN,WTS,LSCC,HE,TLRY,MORN,FR,HOG,UTHR,OFC,XEC,AA,BERY,DLB,WH,PLNT,ITRI,SPCE,TTEK,SMG,SCI,FLS,VRT,BOH,AWI,NVST,VRNS,UPWK,AEO,CW,MAT,MRCY,CRUS,NOV,MAN,UMPQ,NOVT,SLG,WK,SLAB,IIVI,LITE,MTG,CPRI,NYCB,HASI,WSC,WWD,AMN,WTFC,SNV,DNLI,FATE,LEG,PLXS,FL,EQT,BRKR,SRPT,ARWR,BJ,AVA,RXN,ASGN,CRI,TPX,VVV,PRTA,CHE,XRX,LAMR,STFC,MRTX,HXL,LPX,COG,CFR,FHB,CASY,AIRC,WCC,BC,CDK,AGCO,BHVN,FOXF,NCR,MTX,THO,AWR,FCN,ZI,SWX,ACIW,CWEN,ARES,RBC,R,X,BLD,RL,STAA,JBL,NEWR,KLIC,GTLS,SYNA,M,POWI,SGMS,VNT,HGV,BCC,RGA,PRGS,USD,NEO,CHDN,WERN,ONTO,SPSC,SPT,MUSA,FTI,BRKS,ASAN,CAR,WOLF,RRX,RRC,BPOP,FIX,ROG,RCM,CADE,FUL,TNET,PSTG,GXO,VOYA,LW,SLM,SAIA,n/a,NJR,VAC,PRI,SIGI,DOC,ALK,HWC,AQUA,AUB,ARNA,BCPC,QDEL,SUM
10/18/2021,0.0,0.19,0.39,0.38,0.33,0.28,0.31,0.41,0.42,0.33,0.21,0.25,0.41,0.34,0.0,0.3,0.21,0.34,0.28,0.23,0.28,0.2,0.31,0.24,0.27,0.26,0.3,0.22,0.26,0.17,0.22,0.31,0.29,0.23,0.22,0.23,0.25,0.24,0.29,0.23,0.26,0.19,0.21,0.22,0.27,0.15,0.21,0.26,0.22,0.23,0.0,0.27,0.26,0.25,0.22,0.2,0.18,0.21,0.23,0.3,0.23,0.2,0.29,0.19,0.21,0.21,0.23,0.18,0.19,0.2,0.22,0.18,0.19,0.26,0.23,0.0,0.19,0.17,0.24,0.16,0.2,0.18,0.24,0.19,0.15,0.2,0.22,0.16,0.16,0.2,0.2,0.15,0.18,0.19,0.17,0.0,0.2,0.19,0.22,0.22,0.18,0.2,0.24,0.22,0.18,0.0,0.18,0.19,0.24,0.19,0.2,0.16,0.14,0.17,0.19,0.17,0.16,0.18,0.0,0.17,0.0,0.22,0.17,0.0,0.17,0.17,0.16,0.17,0.16,0.18,0.18,0.17,0.16,0.2,0.15,0.19,0.15,0.18,0.16,0.23,0.15,0.14,0.18,0.14,0.16,0.18,0.17,0.14,0.0,0.16,0.16,0.0,0.16,0.17,0.0,0.2,0.14,0.14,0.2,0.19,0.0,0.0,0.18,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.15,0.0,0.14,0.18,0.16,0.17,0.14,0.17,0.0,0.0,0.15,0.16,0.0,0.0,0.0,0.15,0.0,0.16,0.15,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.17,0.0,0.16,0.0,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.16,0.14,0.0,0.0,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.15,0.14,0.0,0.23,0.0,0.0,0.15,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.14,0.0,0.0,0.14,0.0,0.2,0.16,0.15,0.15,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.14,0.15,0.0,0.0,0.18,0.25,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.040000000000006
10/19/2021,0.0,0.19,0.37,0.38,0.34,0.27,0.3,0.39,0.41,0.33,0.23,0.26,0.45,0.34,0.0,0.3,0.21,0.34,0.24,0.23,0.28,0.21,0.31,0.26,0.28,0.27,0.31,0.22,0.26,0.17,0.23,0.3,0.28,0.23,0.22,0.23,0.25,0.24,0.29,0.24,0.27,0.2,0.21,0.22,0.26,0.15,0.22,0.26,0.22,0.23,0.0,0.27,0.26,0.25,0.21,0.2,0.18,0.21,0.24,0.31,0.24,0.2,0.29,0.19,0.21,0.21,0.23,0.19,0.19,0.2,0.22,0.19,0.19,0.27,0.22,0.0,0.2,0.18,0.24,0.17,0.2,0.18,0.23,0.2,0.15,0.19,0.22,0.18,0.16,0.2,0.2,0.15,0.17,0.19,0.17,0.0,0.21,0.19,0.23,0.22,0.17,0.19,0.24,0.23,0.18,0.0,0.18,0.19,0.24,0.19,0.2,0.16,0.15,0.18,0.2,0.17,0.16,0.18,0.0,0.17,0.0,0.23,0.16,0.0,0.17,0.17,0.16,0.17,0.16,0.18,0.18,0.16,0.16,0.2,0.15,0.19,0.16,0.18,0.17,0.22,0.16,0.14,0.18,0.14,0.18,0.18,0.17,0.15,0.0,0.16,0.16,0.0,0.15,0.17,0.0,0.2,0.14,0.14,0.19,0.19,0.0,0.0,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.17,0.14,0.15,0.0,0.14,0.18,0.16,0.17,0.0,0.18,0.13,0.0,0.15,0.16,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.15,0.14,0.16,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.24,0.0,0.0,0.15,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.13,0.0,0.0,0.15,0.0,0.19,0.17,0.15,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.14,0.14,0.0,0.0,0.18,0.26,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.17
10/20/2021,0.0,0.0,0.37,0.37,0.35,0.28,0.31,0.4,0.41,0.33,0.23,0.26,0.44,0.35,0.0,0.31,0.21,0.34,0.24,0.23,0.28,0.21,0.31,0.25,0.29,0.27,0.31,0.22,0.26,0.16,0.23,0.3,0.28,0.23,0.22,0.23,0.26,0.24,0.29,0.25,0.27,0.2,0.21,0.22,0.27,0.14,0.22,0.26,0.22,0.23,0.0,0.27,0.26,0.25,0.21,0.2,0.19,0.21,0.24,0.3,0.24,0.2,0.29,0.19,0.21,0.21,0.23,0.2,0.19,0.2,0.22,0.19,0.19,0.26,0.22,0.0,0.2,0.17,0.24,0.17,0.2,0.18,0.22,0.2,0.15,0.19,0.22,0.18,0.16,0.2,0.2,0.15,0.17,0.19,0.16,0.0,0.2,0.2,0.23,0.22,0.17,0.2,0.24,0.23,0.18,0.0,0.18,0.19,0.25,0.19,0.2,0.16,0.15,0.18,0.2,0.17,0.16,0.18,0.0,0.17,0.0,0.21,0.16,0.0,0.16,0.17,0.15,0.17,0.16,0.18,0.18,0.16,0.16,0.19,0.15,0.19,0.16,0.18,0.17,0.22,0.16,0.14,0.18,0.14,0.17,0.18,0.17,0.15,0.0,0.16,0.16,0.0,0.15,0.17,0.0,0.23,0.15,0.14,0.19,0.19,0.0,0.0,0.18,0.0,0.15,0.0,0.0,0.13,0.0,0.0,0.14,0.14,0.0,0.17,0.14,0.15,0.0,0.14,0.18,0.16,0.17,0.13,0.18,0.14,0.0,0.14,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.16,0.14,0.16,0.0,0.0,0.16,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.14,0.14,0.0,0.16,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.0,0.0,0.0,0.15,0.0,0.2,0.17,0.15,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.14,0.14,0.14,0.0,0.19,0.25,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.120000000000005
10/21/2021,0.0,0.0,0.38,0.37,0.35,0.28,0.31,0.4,0.41,0.32,0.24,0.27,0.44,0.35,0.0,0.31,0.21,0.34,0.25,0.23,0.29,0.21,0.31,0.26,0.28,0.27,0.3,0.22,0.26,0.17,0.23,0.3,0.28,0.23,0.22,0.23,0.26,0.24,0.29,0.24,0.27,0.2,0.22,0.22,0.27,0.15,0.22,0.27,0.22,0.23,0.0,0.28,0.26,0.25,0.21,0.2,0.18,0.2,0.24,0.31,0.24,0.2,0.3,0.18,0.21,0.21,0.22,0.2,0.19,0.2,0.22,0.19,0.19,0.27,0.22,0.0,0.2,0.17,0.24,0.17,0.2,0.18,0.22,0.2,0.15,0.19,0.23,0.18,0.16,0.19,0.2,0.14,0.17,0.19,0.16,0.0,0.2,0.2,0.23,0.22,0.17,0.2,0.23,0.23,0.18,0.13,0.18,0.18,0.25,0.19,0.21,0.16,0.15,0.18,0.21,0.17,0.16,0.18,0.0,0.17,0.0,0.21,0.16,0.0,0.16,0.17,0.15,0.17,0.16,0.18,0.18,0.16,0.17,0.2,0.15,0.2,0.16,0.18,0.17,0.22,0.16,0.14,0.18,0.0,0.17,0.18,0.17,0.15,0.0,0.16,0.16,0.0,0.15,0.17,0.0,0.24,0.15,0.14,0.19,0.19,0.0,0.0,0.18,0.0,0.15,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.17,0.14,0.15,0.0,0.14,0.18,0.16,0.17,0.0,0.18,0.14,0.0,0.14,0.16,0.13,0.0,0.0,0.16,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.16,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.15,0.0,0.15,0.13,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.14,0.14,0.0,0.16,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.13,0.14,0.0,0.15,0.0,0.19,0.17,0.15,0.14,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.14,0.14,0.14,0.0,0.2,0.26,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.22
10/22/2021,0.0,0.0,0.38,0.38,0.34,0.28,0.3,0.4,0.41,0.32,0.24,0.27,0.44,0.35,0.0,0.31,0.21,0.34,0.25,0.23,0.28,0.21,0.31,0.26,0.28,0.26,0.3,0.22,0.26,0.17,0.23,0.3,0.28,0.23,0.22,0.23,0.27,0.24,0.29,0.26,0.27,0.21,0.21,0.22,0.27,0.15,0.22,0.26,0.22,0.23,0.14,0.28,0.27,0.25,0.21,0.2,0.18,0.21,0.25,0.31,0.24,0.19,0.29,0.18,0.21,0.21,0.22,0.2,0.19,0.19,0.22,0.19,0.19,0.26,0.22,0.0,0.2,0.17,0.24,0.17,0.2,0.18,0.23,0.2,0.15,0.19,0.23,0.18,0.16,0.19,0.21,0.15,0.17,0.19,0.17,0.0,0.2,0.2,0.23,0.22,0.17,0.2,0.23,0.23,0.18,0.14,0.18,0.19,0.25,0.19,0.2,0.16,0.15,0.18,0.21,0.17,0.16,0.18,0.0,0.17,0.0,0.22,0.16,0.0,0.17,0.17,0.16,0.17,0.16,0.18,0.18,0.16,0.17,0.2,0.15,0.2,0.15,0.18,0.17,0.22,0.16,0.14,0.17,0.0,0.18,0.19,0.17,0.15,0.0,0.16,0.16,0.0,0.15,0.17,0.0,0.22,0.15,0.14,0.19,0.19,0.0,0.0,0.18,0.0,0.15,0.0,0.0,0.14,0.0,0.0,0.14,0.14,0.0,0.17,0.14,0.16,0.0,0.15,0.17,0.16,0.17,0.0,0.19,0.14,0.0,0.14,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.16,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.16,0.13,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.14,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.14,0.0,0.19,0.16,0.15,0.14,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.14,0.14,0.14,0.14,0.2,0.27,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3
10/25/2021,0.0,0.0,0.37,0.38,0.35,0.28,0.3,0.41,0.42,0.32,0.24,0.28,0.45,0.34,0.0,0.31,0.22,0.34,0.25,0.23,0.28,0.21,0.3,0.26,0.29,0.27,0.31,0.22,0.28,0.16,0.22,0.3,0.28,0.23,0.23,0.23,0.26,0.25,0.29,0.24,0.26,0.2,0.21,0.22,0.28,0.15,0.22,0.26,0.22,0.22,0.14,0.28,0.26,0.25,0.22,0.2,0.18,0.2,0.26,0.31,0.23,0.19,0.29,0.18,0.21,0.21,0.22,0.2,0.19,0.19,0.22,0.19,0.19,0.25,0.23,0.0,0.2,0.17,0.24,0.17,0.21,0.19,0.23,0.2,0.15,0.19,0.23,0.19,0.16,0.2,0.21,0.16,0.17,0.19,0.17,0.0,0.2,0.2,0.23,0.22,0.17,0.2,0.24,0.23,0.18,0.13,0.18,0.19,0.25,0.19,0.2,0.16,0.15,0.18,0.22,0.17,0.16,0.18,0.0,0.17,0.0,0.21,0.16,0.0,0.16,0.16,0.15,0.17,0.16,0.18,0.17,0.17,0.17,0.2,0.15,0.2,0.15,0.18,0.17,0.22,0.16,0.14,0.18,0.0,0.18,0.19,0.18,0.14,0.0,0.16,0.16,0.0,0.15,0.17,0.0,0.21,0.15,0.14,0.19,0.18,0.0,0.0,0.18,0.0,0.15,0.0,0.0,0.14,0.0,0.0,0.15,0.14,0.0,0.17,0.14,0.16,0.0,0.14,0.16,0.16,0.17,0.0,0.19,0.14,0.0,0.14,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.15,0.14,0.16,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.16,0.14,0.0,0.0,0.15,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.14,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.2,0.16,0.15,0.15,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.0,0.14,0.15,0.21,0.26,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35
10/26/2021,0.0,0.0,0.37,0.39,0.36,0.28,0.3,0.42,0.43,0.32,0.24,0.28,0.44,0.35,0.0,0.31,0.22,0.33,0.24,0.23,0.29,0.2,0.31,0.26,0.3,0.27,0.31,0.22,0.27,0.16,0.21,0.31,0.28,0.23,0.23,0.23,0.27,0.25,0.29,0.23,0.25,0.2,0.21,0.22,0.29,0.14,0.22,0.27,0.22,0.22,0.14,0.29,0.26,0.24,0.22,0.2,0.18,0.21,0.26,0.31,0.23,0.19,0.3,0.18,0.2,0.21,0.22,0.2,0.19,0.22,0.22,0.19,0.19,0.26,0.23,0.0,0.2,0.17,0.24,0.17,0.21,0.19,0.23,0.2,0.15,0.19,0.23,0.18,0.16,0.2,0.21,0.16,0.17,0.19,0.16,0.0,0.19,0.2,0.24,0.22,0.17,0.19,0.24,0.23,0.18,0.0,0.18,0.19,0.25,0.19,0.2,0.16,0.15,0.18,0.22,0.17,0.16,0.18,0.0,0.17,0.0,0.21,0.16,0.0,0.16,0.16,0.16,0.17,0.16,0.18,0.18,0.17,0.17,0.2,0.15,0.2,0.15,0.18,0.17,0.22,0.16,0.14,0.18,0.0,0.17,0.19,0.17,0.15,0.0,0.17,0.16,0.0,0.15,0.17,0.0,0.2,0.15,0.14,0.19,0.18,0.0,0.0,0.18,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.17,0.14,0.16,0.0,0.14,0.16,0.16,0.18,0.0,0.19,0.14,0.0,0.14,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.15,0.14,0.17,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.16,0.14,0.0,0.0,0.15,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.14,0.15,0.0,0.17,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.2,0.16,0.15,0.15,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.14,0.14,0.14,0.15,0.21,0.26,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46000000000001
10/27/2021,0.0,0.0,0.37,0.39,0.36,0.28,0.3,0.42,0.43,0.32,0.24,0.28,0.44,0.35,0.0,0.31,0.22,0.33,0.24,0.23,0.29,0.2,0.31,0.26,0.3,0.27,0.31,0.22,0.27,0.16,0.21,0.31,0.28,0.23,0.23,0.23,0.27,0.25,0.29,0.23,0.25,0.2,0.21,0.22,0.29,0.14,0.22,0.27,0.22,0.22,0.14,0.29,0.26,0.24,0.22,0.2,0.18,0.21,0.26,0.31,0.23,0.19,0.3,0.18,0.2,0.21,0.22,0.2,0.19,0.22,0.22,0.19,0.19,0.26,0.23,0.0,0.2,0.17,0.24,0.17,0.21,0.19,0.23,0.2,0.15,0.19,0.23,0.18,0.16,0.2,0.21,0.16,0.17,0.19,0.16,0.0,0.19,0.2,0.24,0.22,0.17,0.19,0.24,0.23,0.18,0.0,0.18,0.19,0.25,0.19,0.2,0.16,0.15,0.18,0.22,0.17,0.16,0.18,0.0,0.17,0.0,0.21,0.16,0.0,0.16,0.16,0.16,0.17,0.16,0.18,0.18,0.17,0.17,0.2,0.15,0.2,0.15,0.18,0.17,0.22,0.16,0.14,0.18,0.0,0.17,0.19,0.17,0.15,0.0,0.17,0.16,0.0,0.15,0.17,0.0,0.2,0.15,0.14,0.19,0.18,0.0,0.0,0.18,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.17,0.14,0.16,0.0,0.14,0.16,0.16,0.18,0.0,0.19,0.14,0.0,0.14,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.15,0.14,0.17,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.16,0.14,0.0,0.0,0.15,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.14,0.15,0.0,0.17,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.2,0.16,0.15,0.15,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.14,0.14,0.14,0.15,0.21,0.26,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46000000000001
10/28/2021,0.0,0.0,0.37,0.39,0.36,0.28,0.3,0.41,0.43,0.32,0.24,0.28,0.44,0.34,0.0,0.31,0.22,0.33,0.25,0.23,0.29,0.2,0.31,0.25,0.3,0.26,0.31,0.22,0.27,0.15,0.21,0.31,0.27,0.23,0.23,0.23,0.27,0.25,0.29,0.23,0.25,0.2,0.21,0.22,0.29,0.14,0.22,0.27,0.22,0.22,0.14,0.28,0.27,0.25,0.21,0.19,0.18,0.2,0.26,0.31,0.24,0.18,0.3,0.18,0.2,0.21,0.22,0.2,0.19,0.23,0.22,0.19,0.19,0.26,0.23,0.0,0.2,0.17,0.24,0.17,0.21,0.19,0.23,0.2,0.15,0.19,0.22,0.18,0.15,0.2,0.21,0.16,0.17,0.19,0.16,0.0,0.2,0.2,0.24,0.22,0.17,0.2,0.24,0.23,0.18,0.0,0.18,0.19,0.25,0.19,0.2,0.15,0.15,0.18,0.22,0.16,0.15,0.18,0.0,0.17,0.0,0.22,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.18,0.17,0.17,0.17,0.2,0.15,0.2,0.15,0.18,0.17,0.22,0.16,0.14,0.18,0.0,0.17,0.19,0.17,0.14,0.0,0.17,0.16,0.0,0.15,0.16,0.0,0.21,0.15,0.14,0.18,0.18,0.0,0.0,0.18,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.15,0.14,0.0,0.17,0.14,0.16,0.0,0.14,0.16,0.16,0.17,0.0,0.18,0.14,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.15,0.14,0.16,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.16,0.0,0.0,0.0,0.15,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15,0.15,0.0,0.17,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.2,0.16,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.14,0.14,0.14,0.15,0.22,0.26,0.22,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.370000000000005
10/29/2021,0.0,0.0,0.38,0.39,0.35,0.28,0.3,0.41,0.43,0.32,0.24,0.28,0.42,0.35,0.0,0.3,0.22,0.33,0.25,0.23,0.29,0.2,0.32,0.25,0.3,0.26,0.31,0.22,0.27,0.16,0.22,0.31,0.27,0.23,0.23,0.23,0.27,0.26,0.29,0.23,0.25,0.2,0.21,0.22,0.29,0.14,0.22,0.26,0.22,0.23,0.14,0.28,0.27,0.25,0.21,0.2,0.17,0.2,0.26,0.31,0.24,0.19,0.3,0.18,0.21,0.21,0.23,0.19,0.19,0.23,0.22,0.19,0.19,0.26,0.22,0.0,0.2,0.18,0.24,0.17,0.21,0.19,0.23,0.2,0.15,0.19,0.22,0.19,0.15,0.2,0.21,0.16,0.17,0.19,0.16,0.0,0.2,0.2,0.24,0.22,0.17,0.2,0.24,0.23,0.18,0.0,0.18,0.2,0.25,0.19,0.2,0.15,0.15,0.18,0.22,0.16,0.15,0.18,0.0,0.17,0.14,0.22,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.18,0.17,0.17,0.18,0.2,0.15,0.2,0.16,0.18,0.17,0.22,0.16,0.14,0.18,0.0,0.17,0.19,0.17,0.14,0.0,0.17,0.16,0.0,0.15,0.17,0.0,0.2,0.15,0.14,0.18,0.18,0.0,0.0,0.19,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.17,0.14,0.16,0.0,0.14,0.16,0.16,0.17,0.0,0.19,0.14,0.0,0.0,0.16,0.14,0.0,0.0,0.16,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.16,0.0,0.0,0.16,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.16,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15,0.16,0.0,0.17,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.2,0.16,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.14,0.14,0.14,0.14,0.21,0.27,0.22,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46000000000001
